Geo Point;Geo Shape;ID_KJ;KI_ANGEBOT;JU_ANGEBOT;TRAEGER;ANGEBOT;STRASSE_NR;PLZ;ORT;KANTON;LINK
47.5470768433,7.56242486229;"{""type"": ""Point"", ""coordinates"": [7.562424862285376, 47.54707684332493]}";54;FALSE;TRUE;ev-ref. KG Stephanus;Jugendtreff Pier12;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.erk-bs.ch/kg/baselwest/jugendtreff
47.5759394407,7.59129294802;"{""type"": ""Point"", ""coordinates"": [7.591292948019986, 47.57593944074908]}";6;TRUE;FALSE;Verein Druckstelle;Druckstelle;Gärtnerstrasse 46;4057;Basel-Stadt;BS;https://www.druck-stelle.ch/
47.5800712594,7.58981341471;"{""type"": ""Point"", ""coordinates"": [7.589813414708462, 47.58007125944155]}";72;TRUE;FALSE;Evangelische Stadtmission;Spielbox: offener Spieltreffpunkt;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.5427927737,7.59490405544;"{""type"": ""Point"", ""coordinates"": [7.594904055437949, 47.542792773738604]}";96;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Gundeldingen;Güterstrasse 211;4053;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.5569496396,7.58750527398;"{""type"": ""Point"", ""coordinates"": [7.587505273984951, 47.55694963957328]}";93;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibiliothek Schmiedenhof;Im Schmiedenhof 10;4001;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.5721115097,7.60835951421;"{""type"": ""Point"", ""coordinates"": [7.608359514205767, 47.57211150965732]}";50;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Schorenmatten;In den Schorenmatten 97;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.5392336047,7.59312718225;"{""type"": ""Point"", ""coordinates"": [7.593127182250885, 47.53923360465257]}";52;TRUE;FALSE;Stiftung IdéeSport;OpenSunday Gundeli;Ingelsteinweg 6;4053;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/164087
47.5628787874,7.57067315826;"{""type"": ""Point"", ""coordinates"": [7.570673158261308, 47.56287878737262]}";99;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Iselinschulhaus, Strassburgerallee 65;4055;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.5801587652,7.59098999612;"{""type"": ""Point"", ""coordinates"": [7.590989996116127, 47.58015876524551]}";113;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Kleinhüningen Chillout;Kleinhüningerstrasse 183;4057;Basel-Stadt;BS;https://www.jugi-chillout.ch/
47.5808679849,7.5912804585;"{""type"": ""Point"", ""coordinates"": [7.591280458495074, 47.5808679848765]}";79;TRUE;FALSE;Verein Haus für Kinder und Eltern;Spielwerkstatt Kleinhüningen;Kleinhüningerstrasse 205;4057;Basel-Stadt;BS;http://www.spielwerkstattbasel.ch/Spielwerkstatt-Kleinhueningen/Spielwerkstatt-Kleinhueningen-28
47.5638161462,7.59113869881;"{""type"": ""Point"", ""coordinates"": [7.591138698813642, 47.56381614621381]}";74;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Spiel-Estrich Kaserne;Klybeckstrasse 1b;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5420626886,7.59608405019;"{""type"": ""Point"", ""coordinates"": [7.596084050186632, 47.54206268860114]}";32;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Liesbergermatte;Liesbergermatte;4053;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.5454882696,7.59009013177;"{""type"": ""Point"", ""coordinates"": [7.590090131768786, 47.54548826960661]}";56;FALSE;TRUE;Verein JuAr Basel;Purple Park;Meret Oppenheimstr. 80;4053;Basel-Stadt;BS;http://www.purplepark.ch/
47.562204935,7.60207627956;"{""type"": ""Point"", ""coordinates"": [7.602076279555659, 47.5622049349875]}";116;FALSE;TRUE;Jugendförderverein Oberes Kleinbasel ooink ooink Productions;Landhof Kidzz: Mädchenangebot;Riehenstrasse 78a;4058;Basel-Stadt;BS;http://ooinkooink.ch/landhof.html
47.5418296217,7.59551222381;"{""type"": ""Point"", ""coordinates"": [7.595512223808934, 47.54182962171881]}";98;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Thiersteinerschulhaus, Bärschwilerstrasse 11;4053;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.562663857,7.59197252197;"{""type"": ""Point"", ""coordinates"": [7.591972521965215, 47.56266385695737]}";43;FALSE;TRUE;Verein JuAr Basel;Mädona: Mädchentreffpunkt Claraplatz;Untere Rebgasse 27;4058;Basel-Stadt;BS;https://www.maedona.ch/
47.5705666793,7.587064814;"{""type"": ""Point"", ""coordinates"": [7.587064813999882, 47.57056667929037]}";92;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Dreirosen: Mädchentreffpunkt;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-jugendzentrum.ch/oeffnungszeiten
47.5635794556,7.62410495078;"{""type"": ""Point"", ""coordinates"": [7.624104950781715, 47.56357945560819]}";57;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Allmend;Allmendstrasse 219;4058;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5700355139,7.6359150858;"{""type"": ""Point"", ""coordinates"": [7.635915085797352, 47.570035513850904]}";108;TRUE;TRUE;Freizeitzentrum Landauer;Freizeitzentrum Landauer;Bluttrainweg 12;4125;Riehen;BS;https://www.landauer.ch/
47.5635413549,7.59489834542;"{""type"": ""Point"", ""coordinates"": [7.594898345423289, 47.563541354902]}";31;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Claramatte;Claramatte;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.5702682746,7.58832648009;"{""type"": ""Point"", ""coordinates"": [7.58832648008822, 47.57026827455944]}";48;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Dreirosenpark;Dreirosenpark;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.5721591395,7.60015979393;"{""type"": ""Point"", ""coordinates"": [7.600159793926847, 47.572159139458506]}";30;TRUE;FALSE;Quartiertreffpunkt Rosental;Kindernachmittag;Erlkönigweg 30;4058;Basel-Stadt;BS;http://www.gleis58.ch/programm/woechentliches_programm
47.5637977206,7.56097533466;"{""type"": ""Point"", ""coordinates"": [7.560975334662282, 47.563797720620435]}";58;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Bachgraben;Felsplattenstrasse 11;4055;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5791690715,7.60382292708;"{""type"": ""Point"", ""coordinates"": [7.603822927083188, 47.57916907147045]}";87;TRUE;FALSE;Jugendrotkreuz Basel;Spielabend für Kinder aus asylsuchenden Familien im Empfangs- und Verfahrenszentrum;Freiburgerstrasse 50;4057;Basel-Stadt;BS;Schweizerisches Rotes Kreuz Kanton Basel-Stadt :: Aktivitäten im Migrationsbereich (srk-basel.ch)
47.5471308931,7.56234262888;"{""type"": ""Point"", ""coordinates"": [7.56234262887827, 47.54713089308522]}";122;TRUE;FALSE;Verein Eulerstroos nüün;Villa YoYo Stephanus;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.e-9.ch/kids/standort-stephanus
47.5800973478,7.58980817183;"{""type"": ""Point"", ""coordinates"": [7.589808171831552, 47.580097347846944]}";121;TRUE;FALSE;Evangelische Stadtmission;Spielbox: Tanzmodul;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.563514269,7.62549993768;"{""type"": ""Point"", ""coordinates"": [7.625499937680658, 47.56351426900318]}";41;TRUE;FALSE;Quartiertreffpunkt Hirzbrunnen;Mädchentreffpunkt;Im Rheinacker 15;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-hirzbrunnen/offener-treffpunkt.php
47.5776334548,7.58882561562;"{""type"": ""Point"", ""coordinates"": [7.588825615618214, 47.577633454829424]}";53;TRUE;FALSE;Stiftung IdéeSport;OpenSunday Kleinbasel;Inselstrasse 45;4057;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/570031
47.5829200622,7.59217427229;"{""type"": ""Point"", ""coordinates"": [7.59217427228698, 47.58292006217498]}";118;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Kleinhüningen;Kronenplatz;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.5683754125,7.57715845534;"{""type"": ""Point"", ""coordinates"": [7.577158455340582, 47.56837541254029]}";28;TRUE;FALSE;Quartiertreffpunkt LoLa;Kinderbistro;Lothringerstrasse 63;4056;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-lola/offener-treffpunkt.php
47.5580682254,7.56971794419;"{""type"": ""Point"", ""coordinates"": [7.569717944185193, 47.55806822536884]}";33;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Ökolampadmatte;Ökolampadmatte;4055;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/robi_CMS/data/files/Wo_sind_wir.pdf
47.559068461,7.58329932075;"{""type"": ""Point"", ""coordinates"": [7.58329932074727, 47.559068461016686]}";29;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kinderflohmarkt auf dem Peti's;Petersplatz;4051;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kinderferienstaedte.php
47.5585954105,7.57274855848;"{""type"": ""Point"", ""coordinates"": [7.572748558480583, 47.558595410511714]}";36;TRUE;FALSE;Verein Kindertreffpunkt zum Burzelbaum;Kindertreffpunkt zum Burzelbaum;Schlettstadterstrasse 33;4055;Basel-Stadt;BS;https://info385343.wixsite.com/burzelbaum
47.5708696161,7.61010978898;"{""type"": ""Point"", ""coordinates"": [7.610109788982892, 47.57086961605247]}";110;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Schulhaus Schoren, Schorenweg 23;4058;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.5679926644,7.58131687425;"{""type"": ""Point"", ""coordinates"": [7.581316874248387, 47.567992664395355]}";35;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Offener-Treffpunkt/
47.5679566735,7.58133006696;"{""type"": ""Point"", ""coordinates"": [7.581330066959595, 47.56795667347071]}";103;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum: Mädchentreffpunkt;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Maedchentreff/
47.5679557221,7.58137258872;"{""type"": ""Point"", ""coordinates"": [7.581372588722878, 47.567955722065086]}";115;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum: Jungentreffpunkt;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Offener-Treffpunkt/
47.5706207258,7.58699851665;"{""type"": ""Point"", ""coordinates"": [7.586998516651978, 47.570620725799365]}";23;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Dreirosen;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-jugendzentrum.ch/
47.5715846751,7.5784027236;"{""type"": ""Point"", ""coordinates"": [7.578402723599071, 47.57158467509328]}";34;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Voltamatte;Voltamatte;4056;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.5711529478,7.57842817336;"{""type"": ""Point"", ""coordinates"": [7.578428173357654, 47.57115294775693]}";60;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Volta;Voltaplatz 4;4056;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5683315047,7.56005548129;"{""type"": ""Point"", ""coordinates"": [7.560055481288748, 47.56833150468852]}";82;TRUE;FALSE;Verein Eulerstroos nüün;Villa YoYo Herzl;Waldighoferstrasse 16;4055;Basel-Stadt;BS;Standort Herzl (e-9.ch)
47.5734345076,7.59483427452;"{""type"": ""Point"", ""coordinates"": [7.594834274518708, 47.57343450755357]}";59;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Horburg;Wiesenschanzweg 49;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.555877879,7.61440608753;"{""type"": ""Point"", ""coordinates"": [7.61440608753359, 47.55587787895668]}";95;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Breite;Zürcherstrasse 149;4052;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
