Geo Point,Geo Shape,SCHULSTAND,SCHULTYP,NAME,VORNAME_K,NACHNAME_K,FUNKTION,WEBSEITE,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,TELEFON,FAX,WWW_LINK,EMAIL,PDF_REPORT,GEOMETRIE,lat,long,q_rating,w_rating,v_rating,OBJID,ID_SCHULE,VORNAME_1,NACHNAME_1,FUNKTION_1,TELEFON_1,EMAIL_1,VORNAME_2,NACHNAME_2,FUNKTION_2,TELEFON_2,EMAIL_2,risk,risk_alpha
"47.5472752986,7.5692559539","{""type"": ""Point"", ""coordinates"": [7.569255953896938, 47.54727529863986]}",Neubad,Primarschule,Neubad & Kaltbrunnen,,,Sekretariat,,Marschalkenstrasse,120,4054,Basel,+41 61 208 51 50,,http://schulen.edubs.ch/ps/neubad,ps.neubad@bs.ch,Bauprojekt_Schulraum_618.pdf,2609834.213000/1266291.894000,47.5472752986,7.5692559539,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5395943731,7.59842697999","{""type"": ""Point"", ""coordinates"": [7.598426979985542, 47.53959437312424]}",Brunnmatt,Kindergarten,Delsbergerallee 74,,,Kindergarten,,Delsbergerallee,74,4053,Basel,+41 61 331 09 49,,,,,2612031.950000/1265441.908000,47.5395943731,7.59842697999,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5644499366,7.60723309474","{""type"": ""Point"", ""coordinates"": [7.607233094735241, 47.56444993658432]}",Vogelsang,Kindergarten,Schwarzwaldallee 161,,,Kindergarten,,Schwarzwaldallee,161,4058,Basel,+41 61 208 56 25,,,,,2612689.064000/1268206.936000,47.5644499366,7.60723309474,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5392368811,7.60030231709","{""type"": ""Point"", ""coordinates"": [7.600302317094337, 47.53923688113423]}",Brunnmatt,Kindergarten,Arlesheimerstrasse 8,,,Kindergarten,,Arlesheimerstrasse,8,4053,Basel,+41 61 331 19 85,,,,,2612173.228000/1265402.447000,47.5392368811,7.60030231709,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5808483315,7.59044859734","{""type"": ""Point"", ""coordinates"": [7.590448597342714, 47.58084833154457]}",Kleinhüningen,Kindergarten,Giessliweg 61,,,Kindergarten,,Giessliweg,61,4057,Basel,+41 61 631 54 64,,,,,2611422.421000/1270027.694000,47.5808483315,7.59044859734,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5786985303,7.58936863379","{""type"": ""Point"", ""coordinates"": [7.589368633786232, 47.578698530317936]}",Insel,Kindergarten,Rastatterstrasse 32,,,Sekretariat,,Rastatterstrasse,32,4057,Basel,+41 61 639 93 00,,,,,2611341.629000/1269788.503000,47.5786985303,7.58936863379,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.578889113,7.59140868615","{""type"": ""Point"", ""coordinates"": [7.59140868615305, 47.57888911302623]}",Insel,Kindergarten,Kleinhüningerstrasse 152,,,Kindergarten,,Kleinhüningerstrasse,152,4057,Basel,+41 61 631 05 34,,,,,2611495.073000/1269809.989000,47.578889113,7.59140868615,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5767490106,7.59033163527","{""type"": ""Point"", ""coordinates"": [7.590331635270836, 47.57674901059624]}",Insel,Kindergarten,Inselstrasse 66,,,Kindergarten,,Inselstrasse,66,4057,Basel,+41 61 631 01 55,,,,,2611414.498000/1269571.876000,47.5767490106,7.59033163527,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5642569087,7.60812269633","{""type"": ""Point"", ""coordinates"": [7.608122696333403, 47.56425690868818]}",Sandgruben,Sekundarschule,Sandgruben,,,Sekretariat,,Schwarzwaldallee,161,4058,Basel,+41 61 208 56 00,,http://www.sek-sandgruben.ch,sek.sandgruben@bs.ch,Bauprojekt_Schulraum_671.pdf,2612756.058000/1268185.617000,47.5642569087,7.60812269633,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5684471966,7.62662727718","{""type"": ""Point"", ""coordinates"": [7.626627277183642, 47.568447196612226]}",Drei Linden,Sekundarschule,Sekundarschule Drei Linden,,,Sekretariat,,Zu den drei Linden,90,4058,Basel,+41 61 606 33 60,+41 61 606 33 55,http://www.sek-dreilinden.ch,sek.dreilinden@bs.ch,Bauprojekt_Schulraum_655.pdf,2614147.532000/1268654.688000,47.5684471966,7.62662727718,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5626761894,7.56126482884","{""type"": ""Point"", ""coordinates"": [7.561264828835532, 47.56267618937754]}",Wasgenring,Primarschule,Wasgenring Nord,,,Schulleitung,,Welschmattstrasse,30,4055,Basel,+41 61 385 90 43,+41 61 385 90 45,http://schulen.edubs.ch/ps/wasgenring,ps.wasgenring@bs.ch,Bauprojekt_Schulraum_667.pdf,2609229.980000/1268003.332000,47.5626761894,7.56126482884,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5617178464,7.59833227693","{""type"": ""Point"", ""coordinates"": [7.598332276930456, 47.56171784641503]}",Theodor,Kindergarten,Riehenstrasse 43,,,Kindergarten,,Riehenstrasse,43,4058,Basel,,,,,,2612019.839000/1267901.764000,47.5617178464,7.59833227693,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5640590227,7.62085567115","{""type"": ""Point"", ""coordinates"": [7.620855671152436, 47.564059022652785]}",Hirzbrunnen,Kindergarten,Wittlingerstrasse 176,,,Kindergarten,,Wittlingerstrasse,176,4058,Basel,+41 61 601 43 14,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2613714.345000/1268165.752000,47.5640590227,7.62085567115,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5533330153,7.56248157488","{""type"": ""Point"", ""coordinates"": [7.562481574882833, 47.55333301526893]}",Gotthelf,Kindergarten,Im langen Loh 101,,,Kindergarten,,Im langen Loh,101,4054,Basel,+41 61 302 98 59,,,,,2609323.179000/1266964.620000,47.5533330153,7.56248157488,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5448171876,7.58745354847","{""type"": ""Point"", ""coordinates"": [7.587453548473217, 47.54481718763838]}",Margarethen,Kindergarten,Gempenstrasse 25,,,Kindergarten,,Gempenstrasse,25,4053,Basel,+41 61 361 13 37,,,,,2611204.651000/1266021.006000,47.5448171876,7.58745354847,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.543758649,7.5861009756","{""type"": ""Point"", ""coordinates"": [7.586100975598933, 47.543758649028696]}",Margarethen,Kindergarten,Gempenstrasse 48,,,Kindergarten,,Gempenstrasse,48,4053,Basel,+41 61 208 54 11,,,,,2611103.044000/1265903.118000,47.543758649,7.5861009756,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5393942295,7.59266175133","{""type"": ""Point"", ""coordinates"": [7.592661751334317, 47.53939422946797]}",Brunnmatt,Primarschule,Brunnmatt,,,Sekretariat,,Ingelsteinweg,6,4053,Basel,+41 61 208 50 20,+41 61 264 80 77,http://schulen.edubs.ch/ps/brunnmatt,ps.brunnmatt@bs.ch,Bauprojekt_Schulraum_620.pdf,2611597.922000/1265418.791000,47.5393942295,7.59266175133,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5701806427,7.59423815943","{""type"": ""Point"", ""coordinates"": [7.59423815942777, 47.57018064271006]}",Dreirosen,Kindergarten,Markgräflerstrasse 49,,,Kindergarten,,Markgräflerstrasse,49,4057,Basel,+41 61 691 39 20,,,,,2611709.860000/1268842.117000,47.5701806427,7.59423815943,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.53155432,7.59602092837","{""type"": ""Point"", ""coordinates"": [7.596020928365431, 47.531554319986654]}",Bruderholz,Primarschule,Bruderholz,,,Sekretariat,,Fritz Hauser-Strasse,20,4059,Basel,+41 61 208 50 90,+41 61 361 95 05,http://schulen.edubs.ch/ps/bruderholz,ps.bruderholz@bs.ch,Bauprojekt_Schulraum_668.pdf,2611852.579000/1264547.589000,47.53155432,7.59602092837,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5843026463,7.59198308243","{""type"": ""Point"", ""coordinates"": [7.591983082431272, 47.58430264628842]}",Kleinhüningen,Primarschule,Kleinhüningen,,,Sekretariat,,Dorfstrasse,51,4057,Basel,+41 61 208 53 30,,http://schulen.edubs.ch/ps/kleinhueningen,ps.kleinhueningen@bs.ch,Bauprojekt_Schulraum_652.pdf,2611537.118000/1270412.001000,47.5843026463,7.59198308243,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.555089727,7.56806631999","{""type"": ""Point"", ""coordinates"": [7.568066319991726, 47.55508972695554]}",Gotthelf,Primarschule,Gottfried Keller & Gotthelf,,,Sekretariat,,Gotthelfplatz,1,4054,Basel,+41 61 208 52 00,+41 61 208 52 30,http://schulen.edubs.ch/ps/gotthelf,ps.gotthelf@bs.ch,Bauprojekt_Schulraum_615.pdf,2609743.233000/1267160.620000,47.555089727,7.56806631999,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5606759826,7.59663980783","{""type"": ""Point"", ""coordinates"": [7.596639807829067, 47.56067598255871]}",Theodor,Kindergarten,Claragraben 40,,,Kindergarten,,Claragraben,40,4058,Basel,+41 61 208 56 40,,,,,2611892.696000/1267785.664000,47.5606759826,7.59663980783,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5777714774,7.58880017888","{""type"": ""Point"", ""coordinates"": [7.588800178883796, 47.577771477401086]}",Insel,Primarschule,Insel,,,Sekretariat,,Inselstrasse,45,4057,Basel,+41 61 208 53 00,+41 61 208 53 01,http://secure.edubs.ch/schulen/ps/insel,ps.insel@bs.ch,Bauprojekt_Schulraum_654.pdf,2611299.057000/1269685.343000,47.5777714774,7.58880017888,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5885832365,7.65704757256","{""type"": ""Point"", ""coordinates"": [7.657047572561458, 47.588583236483956]}",Primarstufe Hinter Gärten,Kindergarten,Hinter Gärten B,,,,,Steingrubenweg,32,4125,Riehen,,,,,,,47.5885832365,7.65704757256,0.0,0.1,0,18.0,22.0,,,,+41 79 704 89 46,,,,,,,0.1,0.014803849000740193
"47.569179171,7.56545881925","{""type"": ""Point"", ""coordinates"": [7.565458819247, 47.56917917098388]}",Isaak Iselin,Kindergarten,Gustav Wenk Strasse 42,,,Kindergarten,,Gustav Wenk Strasse,42,4055,Basel,+41 61 321 49 17,,,,,2609544.453000/1268726.890000,47.569179171,7.56545881925,0.0,0.1,0,,,,,,,,,,,,,0.1,0.014803849000740193
"47.5565960861,7.5696706901","{""type"": ""Point"", ""coordinates"": [7.569670690103572, 47.556596086117395]}",Gotthelf,Kindergarten,Allschwilerplatz 9,,,Kindergarten,,Allschwilerplatz,9,4054,Basel,+41 61 301 42 39,,,,,2609863.715000/1267328.309000,47.5565960861,7.5696706901,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5685507236,7.57821720542","{""type"": ""Point"", ""coordinates"": [7.578217205422659, 47.56855072357489]}",Volta,Kindergarten,Ryffstrasse 22,,,Kindergarten,,Ryffstrasse,22,4056,Basel,+41 61 321 06 45,,,,,2610504.637000/1268658.633000,47.5685507236,7.57821720542,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5647125652,7.59524362144","{""type"": ""Point"", ""coordinates"": [7.595243621437739, 47.56471256517106]}",Bläsi,Kindergarten,Hammerstrasse 87,,,Kindergarten,,Hammerstrasse,87,4057,Basel,,,,,,2611786.726000/1268234.277000,47.5647125652,7.59524362144,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5631912319,7.61523723342","{""type"": ""Point"", ""coordinates"": [7.615237233417858, 47.563191231857644]}",Hirzbrunnen,Kindergarten,Magdenstrasse 19,,,Kindergarten,,Magdenstrasse,19,4058,Basel,+41 61 601 44 05,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2613291.737000/1268068.301000,47.5631912319,7.61523723342,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5692732693,7.57749252092","{""type"": ""Point"", ""coordinates"": [7.577492520920194, 47.569273269349694]}",Volta,Kindergarten,Murbacherstrasse 27,,,Kindergarten,,Murbacherstrasse,27,4056,Basel,+41 61 322 07 70,,,,,2610449.963000/1268738.876000,47.5692732693,7.57749252092,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5817045729,7.6464868745","{""type"": ""Point"", ""coordinates"": [7.646486874503323, 47.58170457288541]}",Primarstufe Burgstrasse,Kindergarten,Glögglihof,,,,,Im Glögglihof,11,4125,Riehen,,,,,,,47.5817045729,7.6464868745,0.0,0.2,0,9.0,9.0,,,,+41 79 704 66 07,,,,,,,0.2,0.029607698001480387
"47.5597990011,7.59520302122","{""type"": ""Point"", ""coordinates"": [7.595203021221085, 47.5597990011473]}",Theodor,Kindergarten,Rebgasse 38,,,Kindergarten,,Rebgasse,38,4058,Basel,+41 61 692 21 40,,,,,2611784.755000/1267687.938000,47.5597990011,7.59520302122,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5442378533,7.59299829374","{""type"": ""Point"", ""coordinates"": [7.592998293738986, 47.54423785333049]}",Margarethen,Kindergarten,Zwingerstrasse 20,,,Kindergarten,,Zwingerstrasse,20,4053,Basel,+41 61 361 06 09,,,,,2611622.207000/1265957.393000,47.5442378533,7.59299829374,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.569593894,7.58683920944","{""type"": ""Point"", ""coordinates"": [7.586839209440743, 47.56959389396558]}",Theobald Baerwart,Sekundarschule,Theobald Baerwart,,,Sekretariat,,Offenburgerstrasse,1,4057,Basel,+41 61 208 53 70,,http://www.sek-theobaldbaerwart.ch,sek.theobaldbaerwart@bs.ch,Bauprojekt_Schulraum_645.pdf,2611153.227000/1268775.805000,47.569593894,7.58683920944,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5657249025,7.5966785506","{""type"": ""Point"", ""coordinates"": [7.596678550601059, 47.565724902509444]}",Theodor,Kindergarten,Sperrstrasse  98,,,Kindergarten,,Sperrstrasse,98,4057,Basel,+41 61 692 75 77,,,,,2611894.487000/1268347.053000,47.5657249025,7.5966785506,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5407415166,7.60101249369","{""type"": ""Point"", ""coordinates"": [7.601012493687892, 47.540741516599674]}",Thierstein,Kindergarten,Güterstrasse 300,,,Kindergarten,,Güterstrasse,300,4053,Basel,+41 61 331 15 73,,,,,2612226.354000/1265569.854000,47.5407415166,7.60101249369,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5499960141,7.60172430465","{""type"": ""Point"", ""coordinates"": [7.601724304647444, 47.54999601407142]}",Sevogel,Kindergarten,Kapellenstrasse 14,,,Kindergarten,,Kapellenstrasse,14,4052,Basel,+41 61 312 60 25,,,,,2612277.818000/1266598.954000,47.5499960141,7.60172430465,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5705244671,7.63402097396","{""type"": ""Point"", ""coordinates"": [7.634020973964207, 47.570524467137304]}",Primarstufe Niederholz,Kindergarten,Niederholz B,,,,,Niederholzstrasse,141,4125,Riehen,,,,,,,47.5705244671,7.63402097396,0.0,0.2,0,27.0,35.0,,,,+41 79 561 84 86,,,,,,,0.2,0.029607698001480387
"47.5656997119,7.59655858912","{""type"": ""Point"", ""coordinates"": [7.59655858911646, 47.565699711871225]}",Bläsi,Kindergarten,Sperrstrasse  98,,,Kindergarten,,Sperrstrasse,98,4057,Basel,+41 61 692 55 42,,,,,2611885.465000/1268344.234000,47.5656997119,7.59655858912,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.557539678,7.579741644","{""type"": ""Point"", ""coordinates"": [7.579741644002899, 47.557539678030025]}",Peter,Kindergarten,Socinstrasse 13,,,Kindergarten,,Socinstrasse,13,4051,Basel,+41 61 261 69 83,,http://schulen.edubs.ch/ps/peter/kindergarten,,,2610621.540000/1267434.532000,47.557539678,7.579741644,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5351582089,7.59587644201","{""type"": ""Point"", ""coordinates"": [7.595876442012227, 47.53515820894282]}",Brunnmatt,Kindergarten,Schönenbergstrasse 24,,,Kindergarten,,Schönenbergstrasse,24,4053,Basel,+41 61 331 75 50,,,,,2611840.900000/1264948.275000,47.5351582089,7.59587644201,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5431214816,7.58680562718","{""type"": ""Point"", ""coordinates"": [7.586805627179578, 47.54312148158034]}",Margarethen,Primarschule,Gundeldingen,,,Sekretariat,,Sempacherstrasse,60,4053,Basel,+41 61 208 54 03,,http://schulen.edubs.ch/ps/margarethen,ps.margarethen@bs.ch,Bauprojekt_Schulraum_669.pdf,2611156.227000/1265832.372000,47.5431214816,7.58680562718,0.0,0.2,0,,,,,,,,,,,,,0.2,0.029607698001480387
"47.5698668386,7.58947290136","{""type"": ""Point"", ""coordinates"": [7.58947290136267, 47.569866838567684]}",Dreirosen,Primarschule,Dreirosen,,,Sekretariat,,Breisacherstrasse,134,4057,Basel,+41 61 208 50 80,,http://schulen.edubs.ch/ps/dreirosen,ps.dreirosen@bs.ch,Bauprojekt_Schulraum_646.pdf,2611351.351000/1268806.529000,47.5698668386,7.58947290136,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5589890149,7.58516104998","{""type"": ""Point"", ""coordinates"": [7.585161049982042, 47.558989014864466]}",Peter,Primarschule,Peters,,,Sekretariat,,Peterskirchplatz,5,4051,Basel,+41 61 208 55 85,,http://schulen.edubs.ch/ps/peter,ps.peters@bs.ch,Bauprojekt_Schulraum_636.pdf,2611029.137000/1267596.425000,47.5589890149,7.58516104998,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5500318889,7.61494561379","{""type"": ""Point"", ""coordinates"": [7.614945613785164, 47.550031888852246]}",Gellert,Kindergarten,Gellertstrasse 110,,,Kindergarten,,Gellertstrasse,110,4052,Basel,+41 61 312 87 78,,,,,2613273.063000/1266605.085000,47.5500318889,7.61494561379,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5493832026,7.60047592297","{""type"": ""Point"", ""coordinates"": [7.600475922967301, 47.549383202649956]}",St. Alban,Sekundarschule,St. Alban,,,Sekretariat,,Engelgasse,40,4052,Basel,+41 61 208 54 80,,http://www.sek-st-alban.ch,sek.stalban@bs.ch,Bauprojekt_Schulraum_624.pdf,2612183.984000/1266530.623000,47.5493832026,7.60047592297,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5841473039,7.59237553453","{""type"": ""Point"", ""coordinates"": [7.592375534532086, 47.584147303905695]}",Kleinhüningen,Kindergarten,Dorfstrasse 51,,,Kindergarten,,Dorfstrasse,51,4057,Basel,+41 61 208 53 37,,,,,2611566.675000/1270394.786000,47.5841473039,7.59237553453,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5498288302,7.59156415157","{""type"": ""Point"", ""coordinates"": [7.591564151570947, 47.54982883024361]}",De Wette,Sekundarschule,Sekundarschule De Wette,,,Sekretariat,,De Wette-Strasse,7,4051,Basel,+41 61 208 55 00,,http://www.sek-dewette.ch,sek.dewette@bs.ch,Bauprojekt_Schulraum_626.pdf,2611513.033000/1266578.833000,47.5498288302,7.59156415157,0.0,0.3,0,,,,,,,,,,,,,0.3,0.044411547002220574
"47.5720589071,7.66649137559","{""type"": ""Point"", ""coordinates"": [7.666491375587341, 47.57205890708265]}",Primarstufe Bettingen,Primarschule,Bettingen,,,,,Hauptstrasse,107,4126,Bettingen,,,http://www.schule-bettingen.ch,,,,47.5720589071,7.66649137559,0.0,0.3,0,1.0,6.0,Monika,Reith,Schulleitung,+41 61 208 51 40,ps.bettingen@riehen.ch,,,,,,0.3,0.044411547002220574
"47.5698630846,7.58896740469","{""type"": ""Point"", ""coordinates"": [7.588967404686323, 47.56986308457453]}",Dreirosen,Kindergarten,Breisacherstrasse 134,,,Kindergarten,,Breisacherstrasse,134,4057,Basel,+41 61 208 50 75,,,,,2611313.314000/1268806.039000,47.5698630846,7.58896740469,0.1,0.2,0,,,,,,,,,,,,,0.31,0.0458919319022946
"47.5544321855,7.60561936511","{""type"": ""Point"", ""coordinates"": [7.605619365105182, 47.55443218554726]}",Gellert,Kindergarten,In den Klosterreben 17,,,Kindergarten,,In den Klosterreben,17,4052,Basel,+41 61 311 00 64,,,,,2612569.980000/1267092.818000,47.5544321855,7.60561936511,0.1,0.2,0,,,,,,,,,,,,,0.31,0.0458919319022946
"47.5580398233,7.57653543792","{""type"": ""Point"", ""coordinates"": [7.576535437918548, 47.558039823344586]}",Isaak Iselin,Kindergarten,Nonnenweg 32,,,Kindergarten,,Nonnenweg,32,4055,Basel,+41 61 272 68 33,,,,,2610380.125000/1267489.716000,47.5580398233,7.57653543792,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5675627525,7.62545011062","{""type"": ""Point"", ""coordinates"": [7.625450110622286, 47.56756275252492]}",Hirzbrunnen,Kindergarten,Zu den Drei Linden 70,,,Kindergarten,,Zu den Drei Linden,70,4058,Basel,+41 61 606 33 83,,,,,2614059.183000/1268556.137000,47.5675627525,7.62545011062,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5732943095,7.64226514994","{""type"": ""Point"", ""coordinates"": [7.642265149939039, 47.57329430951735]}",Primarstufe Wasserstelzen,Kindergarten,Wasserstelzenweg B,,,,,Wasserstelzenweg,65,4125,Riehen,,,,,,,47.5732943095,7.64226514994,0.0,0.4,0,32.0,18.0,,,,+41 79 704 88 30,,,,,,,0.4,0.059215396002960774
"47.568208254,7.5928845163","{""type"": ""Point"", ""coordinates"": [7.592884516295729, 47.56820825398141]}",Bläsi,Primarschule,Bläsi,,,Sekretariat,,Müllheimerstrasse,94,4057,Basel,+41 61 666 61 21,+41 61 666 61 23,http://schulen.edubs.ch/ps/blaesi,ps.blaesi@bs.ch,Bauprojekt_Schulraum_648.pdf,2611608.430000/1268622.609000,47.568208254,7.5928845163,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5687544291,7.59132251809","{""type"": ""Point"", ""coordinates"": [7.591322518085728, 47.568754429077735]}",Bläsi,Kindergarten,Bläsiring 85,,,Kindergarten,,Bläsiring,85,4057,Basel,+41 61 692 27 81,,,,,2611490.771000/1268683.109000,47.5687544291,7.59132251809,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
