Geo Point,Geo Shape,OBJID,ID_SCHULE,SCHULSTAND,SCHULTYP,NAME,VORNAME_1,NACHNAME_1,FUNKTION_1,TELEFON_1,EMAIL_1,VORNAME_2,NACHNAME_2,FUNKTION_2,TELEFON_2,EMAIL_2,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,FAX,WWW_LINK,lat,long,q_rating
"47.5892705485,7.65764133174","{""type"": ""Point"", ""coordinates"": [7.65764133173933, 47.58927054849018]}",16,23,Primarstufe Hinter Gärten,Tagesstruktur,Hinter Gärten,Jasmin,Thommen,Tagesstrukturleitung,+41 61 641 26 03,leitung.tshintergaerten@riehen.ch,Natalie,Obergfell,Tagesstrukturleitung,+41 61 641 26 03,leitung.tshintergaerten@riehen.ch,Steingrubenweg,30,4125,Riehen,,,47.5892705485,7.65764133174,0.1
"47.5723566655,7.63709802968","{""type"": ""Point"", ""coordinates"": [7.637098029680566, 47.572356665471226]}",23,12,Primarstufe Niederholz,Kindergarten,Langenlängeweg A,,,,+41 79 561 69 91,,,,,,,Langenlängeweg,24,4125,Riehen,,,47.5723566655,7.63709802968,0.1
"47.572101118,7.63498753211","{""type"": ""Point"", ""coordinates"": [7.634987532114313, 47.5721011179837]}",25,28,Primarstufe Niederholz,Kindergarten,Hebelmätteli,,,,+41 79 704 88 72,,,,,,,Niederholzstrasse,89,4125,Riehen,,,47.572101118,7.63498753211,0.2
"47.5832322728,7.65140495041","{""type"": ""Point"", ""coordinates"": [7.651404950411076, 47.583232272805986]}",4,41,Primarstufe Burgstrasse,Kindergarten,Weissenbergerhaus,,,,+41 79 571 87 40,,,,,,,Bahnhofstrasse,34,4125,Riehen,,,47.5832322728,7.65140495041,0.30000000000000004
"47.5854754515,7.64919019831","{""type"": ""Point"", ""coordinates"": [7.649190198306491, 47.58547545152232]}",12,3,Primarstufe Erlensträsschen,Primarschule,Erlensträsschen,Ruth,Flück,Schulleitung,+41 61 208 60 12,ps.erlen@riehen.ch,,,,,,Erlensträsschen,8,4125,Riehen,,http://www.schule-erlenstraesschen.ch,47.5854754515,7.64919019831,0.1
"47.5856941269,7.65258653421","{""type"": ""Point"", ""coordinates"": [7.652586534210914, 47.585694126934115]}",13,19,Primarstufe Erlensträsschen,Kindergarten,Wendelinsgasse,,,,+41 79 704 65 04,,,,,,,Wendelinsgasse,21,4125,Riehen,,,47.5856941269,7.65258653421,0.2
"47.5885832365,7.65704757256","{""type"": ""Point"", ""coordinates"": [7.657047572561458, 47.588583236483956]}",18,22,Primarstufe Hinter Gärten,Kindergarten,Hinter Gärten B,,,,+41 79 704 89 46,,,,,,,Steingrubenweg,32,4125,Riehen,,,47.5885832365,7.65704757256,0.0
"47.5935565423,7.65538593816","{""type"": ""Point"", ""coordinates"": [7.655385938160722, 47.59355654233246]}",19,10,Primarstufe Hinter Gärten,Kindergarten,Grienbodenweg,,,,+41 79 704 89 79,,,,,,,Grienbodenweg,10,4125,Riehen,,,47.5935565423,7.65538593816,0.1
"47.5893181876,7.65767489611","{""type"": ""Point"", ""coordinates"": [7.657674896106522, 47.58931818762862]}",20,21,Primarstufe Hinter Gärten,Kindergarten,Steingrubenweg,,,,+41 79 704 89 25,,,,,,,Steingrubenweg,37,4125,Riehen,,,47.5893181876,7.65767489611,0.1
"47.572372467,7.63549331115","{""type"": ""Point"", ""coordinates"": [7.635493311151839, 47.572372466992285]}",22,2,Primarstufe Niederholz,Primarschule,Niederholz,Denise,Aeschi,Schulleitung,+41 61 208 61 00,ps.niederholz@riehen.ch,Manuela,Wäspi,Schulleitung,+41 61 208 61 00,ps.niederholz@riehen.ch,Langenlängeweg,14,4125,Riehen,,http://www.schule-niederholz.ch,47.572372467,7.63549331115,0.2
"47.5727557949,7.64432596421","{""type"": ""Point"", ""coordinates"": [7.644325964213788, 47.57275579492797]}",30,40,Primarstufe Wasserstelzen,Kindergarten,Kornfeldstrasse,,,,+41 76 481 01 28,,,,,,,Kornfeldstrasse,83,4125,Riehen,,,47.5727557949,7.64432596421,0.2
"47.5732943095,7.64226514994","{""type"": ""Point"", ""coordinates"": [7.642265149939039, 47.57329430951735]}",32,18,Primarstufe Wasserstelzen,Kindergarten,Wasserstelzenweg B,,,,+41 79 704 88 30,,,,,,,Wasserstelzenweg,65,4125,Riehen,,,47.5732943095,7.64226514994,0.0
"47.5711778832,7.64392026804","{""type"": ""Point"", ""coordinates"": [7.643920268038782, 47.57117788324179]}",35,17,Primarstufe Wasserstelzen,Kindergarten,Siegwaldweg B,,,,+41 79 932 25 10,,,,,,,Siegwaldweg,9,4125,Riehen,,,47.5711778832,7.64392026804,0.1
"47.5720000897,7.66638041924","{""type"": ""Point"", ""coordinates"": [7.666380419243275, 47.57200008966442]}",2,26,Primarstufe Bettingen,Tagesstruktur,Bettingen,Stefan,Hitz,Tagesstrukturleitung,+41 61 208 51 46,stefan.hitz@riehen.ch,,,,,,Hauptstrasse,107,4126,Bettingen,,,47.5720000897,7.66638041924,0.0
"47.578772877,7.64475800894","{""type"": ""Point"", ""coordinates"": [7.64475800894273, 47.57877287703369]}",6,15,Primarstufe Burgstrasse,Kindergarten,Paradiesstrasse A,,,,+41 61 208 57 95,,,,,,,Paradiesstrasse,47,4125,Riehen,,,47.578772877,7.64475800894,0.2
"47.5794989229,7.6456424462","{""type"": ""Point"", ""coordinates"": [7.645642446204661, 47.57949892287323]}",10,5,Primarstufe Burgstrasse,Primarschule,Burgstrasse,Regina,Hohl,Schulleitung,+41 61 208 57 80,ps.burg@riehen.ch,Florian,von Bidder,Schulleitung,+41 61 208 57 80,ps.burg@riehen.ch,Burgstrasse,51,4125,Riehen,,http://www.schule-burgstrasse.ch,47.5794989229,7.6456424462,0.0
"47.5854827446,7.64929500462","{""type"": ""Point"", ""coordinates"": [7.649295004617881, 47.58548274462551]}",11,24,Primarstufe Erlensträsschen,Tagesstruktur,Erlensträsschen,Monika,Vonder Mühll,Tagesstrukturleitung,+41 61 208 60 15,monika.vondermuehll@riehen.ch,,,,,,Erlensträsschen,8,4125,Riehen,,,47.5854827446,7.64929500462,0.0
"47.584122048,7.65337087121","{""type"": ""Point"", ""coordinates"": [7.653370871207882, 47.5841220480039]}",14,16,Primarstufe Erlensträsschen,Kindergarten,Schmiedgasse B,,,,+41 79 704 65 09,,,,,,,Schmiedgasse,46,4125,Riehen,,,47.584122048,7.65337087121,0.4
"47.5887239748,7.65782435094","{""type"": ""Point"", ""coordinates"": [7.657824350936497, 47.588723974845614]}",15,4,Primarstufe Hinter Gärten,Primarschule,Hinter Gärten,Aaron,Messmer,Schulleitung,+41 61 208 60 60,ps.hintergaerten@riehen.ch,Martina,Casañs Lutzu,Schulleitung,+41 61 208 60 60,ps.hintergaerten@riehen.ch,Steingrubenweg,30,4125,Riehen,,http://www.schule-hintergaerten.ch,47.5887239748,7.65782435094,0.1
"47.5886255836,7.65594453919","{""type"": ""Point"", ""coordinates"": [7.65594453918576, 47.588625583591536]}",17,11,Primarstufe Hinter Gärten,Kindergarten,Hinter Gärten A,,,,+41 79 704 89 74,,,,,,,Hinter Gärten,13,4125,Riehen,,,47.5886255836,7.65594453919,0.2
"47.5723410787,7.63717752538","{""type"": ""Point"", ""coordinates"": [7.637177525380642, 47.57234107874716]}",21,39,Primarstufe Niederholz,Kindergarten,Langenlängeweg B,,,,+41 76 453 61 27,,,,,,,Langenlängeweg,24,4125,Riehen,,,47.5723410787,7.63717752538,0.1
"47.572051496,7.6350803786","{""type"": ""Point"", ""coordinates"": [7.635080378596149, 47.57205149602202]}",24,25,Primarstufe Niederholz,Tagesstruktur,Niederholz,Maria,Nass,Tagesstrukturleitung,+41 61 208 61 10,maria.nass@riehen.ch,Sonia,De Pippo,Tagesstrukturleitung,+41 61 208 61 10,Sonia.DePippo@riehen.ch,Niederholzstrasse,89,4125,Riehen,,,47.572051496,7.6350803786,0.1
"47.5728455381,7.6328086525","{""type"": ""Point"", ""coordinates"": [7.632808652500348, 47.572845538058495]}",29,8,Primarstufe Niederholz,Kindergarten,Bäumlihof,,,,+41 79 704 89 07,,,,,,,Bäumlihofstrasse,428,4125,Riehen,,,47.5728455381,7.6328086525,0.5
"47.5729533091,7.6397849211","{""type"": ""Point"", ""coordinates"": [7.639784921104432, 47.57295330906618]}",31,7,Primarstufe Wasserstelzen,Primarschule,Wasserstelzen,Monika,Schröter,Schulleitung,+41 61 208 55 55,ps.wasserstelzen@riehen.ch,Nicole,Müller,Schulleitung,+41 61 208 55 55,ps.wasserstelzen@riehen.ch,Wasserstelzenweg,11 - 15,4125,Riehen,,http://schulen.edubs.ch/ps/wasserstelzen,47.5729533091,7.6397849211,0.2
"47.5712282359,7.6439271068","{""type"": ""Point"", ""coordinates"": [7.643927106801106, 47.571228235905444]}",33,37,Primarstufe Wasserstelzen,Kindergarten,Siegwaldweg A,,,,+41 79 704 88 19,,,,,,,Siegwaldweg,9,4125,Riehen,,,47.5712282359,7.6439271068,0.1
"47.5733279577,7.6423098007","{""type"": ""Point"", ""coordinates"": [7.642309800695753, 47.57332795774713]}",34,38,Primarstufe Wasserstelzen,Kindergarten,Wasserstelzenweg A,,,,+41 79 704 88 69,,,,,,,Wasserstelzenweg,65,4125,Riehen,,,47.5733279577,7.6423098007,0.0
